true_answer_image,true_answer_label,true_class_name,selected_images
5918,68,bearded iris,"[5504, 6073, 5918, 5088, 6294, 4622, 4878, 5310, 270, 7157, 2619, 3913]"
5132,2,pocket orchid,"[4889, 5497, 2626, 178, 5281, 1237, 5941, 5132, 1383, 4615, 6254, 387]"
4849,91,hippeastrum,"[5460, 2558, 1377, 5536, 5934, 324, 3813, 4849, 4567, 6294, 5296, 5108]"
4568,40,lenten rose,"[5103, 4568, 7015, 5921, 2571, 5536, 358, 5316, 8061, 6269, 5508, 1424]"
6269,61,cautleya spicata,"[293, 4878, 5497, 5306, 2637, 5951, 5088, 6269, 576, 4603, 3813, 1434]"
5508,87,magnolia,"[1437, 5113, 6663, 2620, 4864, 268, 2641, 4622, 6264, 5508, 5955, 5298]"
5137,2,pocket orchid,"[6918, 2601, 4855, 5137, 6271, 5948, 5486, 7573, 4575, 308, 1414, 5281]"
5321,70,tree poppy,"[5947, 5321, 4838, 4595, 1407, 5470, 6257, 7677, 5106, 257, 6918, 2577]"
6295,61,cautleya spicata,"[5931, 432, 6295, 1339, 2629, 3334, 3361, 4868, 4567, 5286, 5489, 5103]"
1326,51,petunia,"[1326, 4603, 5932, 2770, 7157, 5470, 283, 6251, 4849, 5103, 2584, 5295]"
5903,68,bearded iris,"[6247, 4796, 5903, 5491, 5143, 4605, 5298, 2620, 3334, 1457, 4838, 384]"
6251,61,cautleya spicata,"[1547, 4849, 3047, 5335, 6251, 1326, 5931, 5137, 5522, 2579, 4593, 417]"
5104,2,pocket orchid,"[5104, 2571, 5911, 3047, 4601, 4855, 6073, 6266, 3974, 5504, 330, 5278]"
2592,84,columbine,"[5143, 4894, 2592, 283, 5940, 6290, 1407, 4577, 5313, 80, 1237, 5515]"
5334,70,tree poppy,"[318, 5134, 1457, 4617, 5932, 5334, 5536, 4855, 6276, 5486, 4383, 2579]"
5325,70,tree poppy,"[5491, 6237, 5140, 4894, 1402, 4577, 5903, 2625, 324, 5325, 6294, 5795]"
4601,40,lenten rose,"[4601, 3915, 269, 6266, 5923, 5129, 5483, 5321, 4829, 6133, 1667, 2629]"
4615,40,lenten rose,"[3915, 5134, 80, 5484, 4839, 384, 6269, 4615, 5335, 2577, 3706, 5911]"
270,73,water lily,"[5474, 4575, 270, 2592, 5296, 4887, 5108, 6289, 6056, 1346, 5944, 80]"
283,73,water lily,"[3813, 5515, 4887, 3974, 5912, 2601, 5334, 6273, 283, 4563, 2746, 5127]"
4845,91,hippeastrum,"[3104, 2571, 5306, 4845, 5953, 4605, 5487, 3361, 1346, 5127, 409, 6273]"
6286,61,cautleya spicata,"[5127, 3917, 4845, 432, 2600, 7803, 5307, 951, 5474, 4570, 6286, 5920]"
5955,68,bearded iris,"[5955, 80, 268, 5122, 4568, 4851, 6288, 5465, 1424, 3706, 5290, 2592]"
257,73,water lily,"[4850, 5145, 1434, 4578, 257, 5918, 1547, 5305, 5489, 6254, 2637, 446]"
5508,87,magnolia,"[5106, 7285, 6289, 2560, 5508, 5945, 3913, 576, 4617, 8056, 269, 5331]"
4889,91,hippeastrum,"[2619, 5132, 7112, 5911, 6289, 5310, 307, 4567, 3974, 4889, 5511, 3104]"
1316,51,petunia,"[5501, 4587, 5140, 5920, 318, 6264, 1933, 2560, 8061, 1316, 446, 5335]"
5489,87,magnolia,"[5912, 6264, 2560, 5489, 3706, 358, 4844, 5310, 3974, 5129, 4603, 1547]"
6266,61,cautleya spicata,"[5127, 4224, 5483, 2582, 5315, 263, 6266, 3334, 3925, 4593, 5940, 8060]"
5467,87,magnolia,"[1366, 5923, 5118, 4615, 4855, 5467, 1933, 7112, 2626, 5298, 6272, 409]"
384,73,water lily,"[5325, 1547, 1346, 4894, 384, 2636, 5134, 6273, 691, 5486, 4610, 5953]"
5281,70,tree poppy,"[4852, 5113, 6255, 4590, 268, 871, 5281, 5945, 2579, 1383, 5467, 1237]"
2577,84,columbine,"[5941, 2577, 4224, 8061, 5511, 5286, 503, 5141, 4587, 263, 1402, 6267]"
1339,51,petunia,"[4595, 5923, 308, 5472, 1339, 6272, 4871, 5278, 2602, 5132, 7285, 871]"
8060,91,hippeastrum,"[1933, 6257, 5139, 5316, 5472, 5944, 8060, 347, 2626, 4224, 3974, 4578]"
3918,51,petunia,"[5290, 4850, 5472, 5910, 5137, 4601, 263, 6295, 4940, 3918, 6237, 2583]"
5089,2,pocket orchid,"[6274, 318, 1855, 4560, 2582, 6133, 5089, 5508, 1437, 5934, 5331, 4868]"
5108,2,pocket orchid,"[269, 4570, 5487, 6254, 5931, 5108, 5335, 2600, 7677, 1414, 4871, 3334]"
5951,68,bearded iris,"[5306, 2566, 4851, 1237, 6247, 5127, 5951, 4593, 5493, 1434, 80, 307]"
5944,68,bearded iris,"[6290, 5501, 5321, 4560, 2558, 8056, 5944, 6974, 1326, 5115, 6237, 387]"
8056,91,hippeastrum,"[3464, 5484, 4590, 5315, 4940, 268, 8056, 5118, 2600, 3925, 5947, 6267]"
5331,70,tree poppy,"[5115, 5522, 5923, 4617, 5331, 4224, 330, 1414, 2770, 4864, 6286, 2566]"
318,73,water lily,"[6288, 7677, 5953, 2583, 318, 1237, 5281, 4852, 4563, 3915, 5515, 5141]"
5467,87,magnolia,"[1366, 7285, 2625, 5467, 366, 5948, 4578, 5307, 5104, 2746, 6247, 4829]"
4570,40,lenten rose,"[2601, 3706, 417, 5104, 4570, 5795, 6276, 5487, 4850, 3918, 5953, 5313]"
2600,84,columbine,"[6056, 7112, 366, 5460, 5145, 6274, 5303, 1316, 4610, 5910, 4844, 2600]"
2602,84,columbine,"[2602, 4844, 5931, 6295, 5137, 5295, 6663, 3917, 691, 5465, 347, 4606]"
4610,40,lenten rose,"[1547, 6255, 5139, 5921, 4851, 5305, 257, 4610, 2584, 5261, 3915, 5493]"
2636,84,columbine,"[691, 1377, 5089, 2636, 5303, 293, 6276, 4601, 4839, 4383, 5934, 5484]"
1316,51,petunia,"[2636, 6271, 4851, 5305, 4606, 4383, 5511, 5955, 1316, 5122, 307, 7573]"
